ProcessID,ArrivalTime,BurstTime
11,0.595,215
123,0.595,357
401,0.595,323
284,0.5975,257
155,0.5975,106
257,0.5975,281
371,0.6,280
465,0.6025,318
413,0.6075,94
235,0.6125,263
80,0.6125,254
312,0.6125,257
32,0.6175,90
380,0.62,284
121,0.6225,109
3,0.6225,45
331,0.625,247
352,0.6275,215
243,0.6275,379
4,0.6325,104
211,0.635,263
276,0.635,19
368,0.6375,380
45,0.64,131
84,0.64,139
268,0.64,331
282,0.6425,131
15,0.645,32
179,0.6475,13
162,0.6525,130
324,0.6525,331
372,0.655,23
274,0.655,199
188,0.6575,283
35,0.66,82
7,0.6625,346
443,0.6625,85
450,0.6625,41
113,0.665,262
323,0.665,40
398,0.665,49
376,0.6675,115
405,0.6725,86
230,0.675,76
36,0.6775,131
271,0.6825,32
395,0.6875,324
432,0.6925,19
306,0.695,260
105,0.7025,153
151,0.7025,296
10,0.705,273
320,0.7075,165
315,0.71,95
311,0.71,18
74,0.7175,344
453,0.7225,71
16,0.7275,348
327,0.7275,171
285,0.7325,359
496,0.7325,347
263,0.7325,134
308,0.7375,248
265,0.74,208
166,0.74,200
486,0.7425,302
61,0.745,336
396,0.7525,84
77,0.7525,256
280,0.755,277
363,0.755,334
360,0.7575,176
212,0.7575,324
266,0.7575,160
317,0.7575,363
449,0.7625,105
87,0.765,190
34,0.765,400
20,0.7675,361
127,0.77,86
214,0.77,24
135,0.7725,174
193,0.7725,18
301,0.775,258
137,0.7775,122
348,0.7775,287
96,0.7775,90
71,0.7775,366
296,0.7825,311
107,0.785,231
163,0.785,37
373,0.7875,16
400,0.7875,277
457,0.79,48
153,0.79,99
483,0.7925,254
89,0.7925,295
239,0.795,94
269,0.7975,277
104,0.7975,248
417,0.8025,245
86,0.805,389
190,0.81,27
75,0.8125,187
12,0.815,110
22,0.815,301
387,0.815,98
154,0.815,359
341,0.8225,353
399,0.8275,324
91,0.8275,380
218,0.8325,360
437,0.8325,212
335,0.835,328
355,0.835,98
259,0.8375,357
318,0.84,366
469,0.845,15
183,0.845,325
470,0.845,253
213,0.845,79
411,0.845,132
497,0.8475,84
92,0.8525,70
287,0.855,89
290,0.855,69
291,0.855,393
201,0.86,292
187,0.865,308
249,0.8675,307
485,0.8675,371
8,0.8725,395
339,0.8725,157
309,0.875,321
208,0.875,117
310,0.8775,174
70,0.8775,26
168,0.8775,388
390,0.8775,348
101,0.8875,355
458,0.89,147
66,0.8975,167
436,0.8975,85
423,0.9,279
95,0.9025,349
159,0.9125,226
452,0.9125,340
126,0.915,225
442,0.9225,282
389,0.9275,272
304,0.9325,231
261,0.935,125
322,0.94,71
223,0.9425,286
489,0.9425,170
51,0.95,30
203,0.95,93
494,0.9525,330
148,0.955,290
421,0.955,107
408,0.9575,107
5,0.9625,88
419,0.9725,240
164,0.9725,42
260,0.98,312
336,0.9825,282
150,0.9875,83
9,0.99,372
228,0.9925,133
321,0.995,61
